stock_code,corp_code,corp_name
000010,00149293,신한은행
000020,00119195,동화약품
000030,00254045,우리은행
000040,00112378,KR모터스
000050,00101628,경방
000060,00117744,메리츠화재해상보험
000070,00126937,삼양홀딩스
000080,00150244,하이트진로
000100,00145109,유한양행
000110,00148504,한국스탠다드차타드은행
000120,00113410,CJ대한통운
000140,00148993,하이트진로홀딩스
000150,00117212,두산
000180,00133335,성창기업지주
0001A0,01516933,덕양에너젠
000210,00109693,DL
000220,00144818,유유제약
000230,00146083,일동홀딩스
000240,00160047,한국앤컴퍼니
000250,00128546,삼천당제약
000270,00106641,기아
000300,00126089,DH오토넥스
000320,00113508,노루홀딩스
000360,00129411,삼환기업
000370,00135917,한화손해보험
000380,00110963,대아건설
000390,00129387,삼화페인트공업
000400,00113562,롯데손해보험
000420,00120377,로케트전기
000430,00111847,대원강업
000440,00149770,중앙에너비스
000470,00104971,그린손해보험
000480,00148984,시알홀딩스
000490,00109286,대동
0004V0,00924931,엔비알모션
0004Y0,01884065,디비금융제14호스팩
000500,00104768,가온전선
000520,00128032,삼일제약
000540,00103176,흥국화재
000590,00149026,CS홀딩스
000610,00148744,제일화재해상보험
000640,00116824,동아쏘시오홀딩스
000650,00151395,천일고속
000660,00164779,SK하이닉스
000670,00141307,영풍
000680,00104698,LS네트웍스
000700,00163691,유수홀딩스
000720,00164478,현대건설
000760,00145686,이화산업
000790,00134060,씨앤상선
0007C0,01829819,아크릴
000800,00101257,경남기업
000810,00139214,삼성화재해상보험
000830,00126229,삼성물산
000850,00166519,화천기공
000860,00100939,강남제비스코
000880,00160588,한화
000890,00123541,보해양조
0008Z0,01294110,에스엔시스
000910,00144252,유니온
000950,00147222,전방
000970,00159573,한국주철관공업
000990,00160843,DB하이텍
0009K0,01781999,에임드바이오
001000,00135999,신라섬유
001020,00134723,페이퍼코리아
001040,00148540,CJ
001060,00149947,JW중외제약
001070,00112970,대한방직
001080,00120872,만호제강
0010V0,00185301,제이피아이헬스케어
001120,00120076,LX인터내셔널
001130,00113243,대한제분
001140,00104519,국보
001150,00131434,서통
001190,00112068,마이크로닉스
0011A0,01554508,액스비스
001200,00131054,유진증권
001210,00106395,금호전기
001230,00114792,동국홀딩스
001250,00138190,GS글로벌
001260,00107066,남광토건
001270,00123772,부국증권
001280,00163178,우리증권
001290,00112059,상상인증권
001300,00148328,제일모직
001310,00155498,풍림산업
001340,00122472,PKC
001360,00126414,삼성제약
001370,00152914,FnC코오롱
001380,00152039,SG글로벌
001390,00101220,KG케미칼
0013V0,01370322,삼진식품
001420,00154055,태원물산
001430,00106669,세아베스틸지주
001440,00113207,대한전선
001450,00164973,현대해상
001460,00122579,BYC
001470,00125974,삼부토건
001490,00151447,천지산업
001500,00137997,현대차증권
001510,00131850,SK증권
001520,00117337,동양
001530,00118345,디아이동일
001540,00139205,안국약품
001550,00148948,조비
001560,00148461,제일연마
001570,00106119,금양
001580,00135670,신광기업
001590,00146719,일화모직공업
0015G0,00677486,그린광학
0015N0,01381805,아로마티카
0015S0,01817920,페스카로
001600,00173397,서광건설산업
001620,00114765,케이비아이동국실업
001630,00149354,종근당홀딩스
001670,00101275,경남모직
001680,00121941,대상
001720,00136721,신영증권
001740,00131780,SK네트웍스
001750,00162416,한양증권
001770,00137809,SHD
001780,00117027,알루코
001790,00113234,대한제당
001800,00117577,오리온홀딩스
001810,00121507,무림SP
001820,00129350,삼화콘덴서공업
001830,00138491,동부일렉트로닉스
001840,00145668,이화공영
001880,00128971,디엘건설
001890,00141282,에이치디씨영창
001940,00159740,KISCO홀딩스
001950,00107923,남한제지
001970,00173661,에스지신성건설
001980,00113696,대호
002000,00159005,생고뱅코리아홀딩스
002020,00152862,코오롱
002030,00138701,아세아
002070,00107677,비비안
002100,00101433,경농
002140,00102751,고려산업
002150,00114552,도화엔지니어링
002170,00127042,삼양통상
002200,00158112,한국수출포장공업
002210,00116268,동성제약
002220,00163196,한일철강
002230,00155638,피에스텍
002240,00103006,고려제강
002250,00105244,알보젠코리아
002270,00120508,롯데푸드
002290,00127936,삼일기업공사
002300,00159412,한국제지
002310,00138729,아세아제지
002320,00163512,한진
002350,00173874,넥센타이어
002360,00136457,SH에너지화학
002380,00105271,케이씨씨
002390,00161046,한독
002410,00122694,범양건영
002420,00133618,세기상사
002450,00127857,삼익악기
002460,00174527,HS화성
002480,00122728,범양사
002530,00122922,벽산건설
002540,00103325,고제
002550,00120216,KB손해보험
002600,00149345,조흥
002620,00148443,제일파마홀딩스
002630,00141626,오리엔트바이오
002670,00115472,미주제강
002680,00140566,한탑
002690,00118451,동일제강
002700,00173698,신일전자
002710,00117300,TCC스틸
002720,00104722,국제약품
002760,00123107,보락
002780,00150828,진흥기업
002790,00154462,아모레퍼시픽홀딩스
002800,00136448,신신제약
002810,00127167,삼영무역
002820,00132211,SUN&L
002840,00121932,미원상사
002850,00141334,영풍산업
002860,00130897,하나은행
002870,00137368,신풍
002880,00149804,대유에이텍
002900,00117230,TYM
002920,00174004,유성기업
002930,00125406,삼도물산
002950,00115852,두산건설
002960,00158149,한국쉘석유
002990,00106313,금호건설
003000,00123718,부광약품
003010,00165343,혜인
003020,00107446,남양
003030,00124197,세아제강지주
003040,00163044,한일약품공업
003050,00110547,링세오코리아
003060,00101044,에이프로젠바이오로직스
003070,00152880,코오롱글로벌
003080,00132725,SB성보
003090,00111810,대웅
0030R0,01885222,대신밸류리츠
003100,00131896,선광
003120,00146214,일성아이에스
003160,00118275,디아이
003190,00112004,알바이오
003200,00146269,일신방직
003220,00111999,대원제약
003230,00126955,삼양식품
003240,00153393,태광산업
003280,00167208,흥아해운
003300,00162993,한일홀딩스
003310,00112457,대주산업
003330,00115038,하나IB증권
003350,00160621,한국화장품제조
003380,00148364,하림지주
003410,00138224,쌍용씨앤이
003450,00164876,케이비증권
003460,00145190,유화증권
003470,00117601,유안타증권
003480,00163673,한진중공업홀딩스
003490,00113526,대한항공
003520,00141149,영진약품
003530,00148610,한화투자증권
003540,00110893,대신증권
003550,00120021,LG
003560,00154426,아이에이치큐
003570,00134477,SNT다이내믹스
003580,00169048,HLB글로벌
003590,00103583,광덕물산
003600,00144155,SK
003610,00122348,방림
003620,00138242,KG모빌리티
003640,00140380,유니온스틸
003650,00122056,미창석유공업
003660,00102821,고려시멘트
003670,00155276,포스코퓨처엠
003680,00161860,한성기업
003690,00113191,코리안리
003720,00127255,삼영
003780,00150439,진양산업
0037T0,01902990,KB제32호스팩
003800,00140052,에이스침대
003830,00113544,대한화섬
003850,00123143,보령
003900,00164292,동원데어리푸드
003920,00107598,남양유업
003930,00124513,부흥
003940,00132105,삼양제넥스
003960,00109718,사조대림
003990,00136235,BHK
004000,00157681,롯데정밀화학
004010,00121729,롯데미도파
004020,00145880,현대제철
004060,00133511,SG세계물산
004080,00173795,신흥
004090,00157991,한국석유공업
004100,00153755,태양금속공업
004130,00109170,대덕GDS
004140,00115287,동방
004150,00171636,한솔홀딩스
004170,00136378,신세계
004190,00147949,스마텔
0041B0,01910324,교보18호스팩
0041J0,01906552,엘에스스팩1호
0041L0,01906598,하나35호스팩
004200,00102681,고려개발
004230,00133928,세신
004250,00108038,엔피씨
004270,00172185,남성
004310,00164706,현대약품
004320,00144766,호반산업
004360,00133812,세방
004370,00108241,농심
004380,00127802,삼익THK
004410,00130879,서울식품공업
004430,00134963,송원산업
004440,00109806,삼일씨엔에스
004450,00129235,삼화왕관
004490,00133858,세방전지
0044K0,01910759,삼성스팩10호
004510,00117382,디와이홀딩스
004530,00151252,에스와이
004540,00113492,깨끗한나라
004550,00161028,대우송도개발
004560,00125743,현대비앤지스틸
004590,00156442,한국가구
004620,00128759,캠브리지코오롱
004650,00123523,창해에탄올
004660,00115427,신동방CP
004690,00128555,삼천리
004700,00148939,조광피혁
004710,00157399,한솔테크닉스
004720,00135050,팜젠사이언스
004740,00123152,보루네오가구
004770,00138057,써니전자
004780,00109587,대륙제관
004790,00106492,렉스엘이앤지
004800,00117188,효성
004820,00174305,조인에너지
004830,00114093,덕성
004840,00118266,DRB동일
004870,00109514,티웨이홀딩스
004890,00172936,동일산업
004910,00148920,조광페인트
004920,00127158,씨아이테크
004940,00158909,하나은행
004960,00162063,한신공영
004970,00135962,신라교역
004980,00132804,성신양회
004990,00120562,롯데지주
005010,00156488,휴스틸
005030,00124151,부산주공
005070,00129989,코스모신소재
005090,00125150,SGC에너지
005110,00163716,한창
